name,brand,categories,prices,reviews
True Acre Foods Farmhouse Blend with Chicken & Vegetables Dry Dog Food,True Acre Foods,a/b,"{'40-lb bag': '$43.99', '30-lb bag': '$34.99'}",88 Reviews
"
        VICTOR Classic Hi-Pro Plus Formula Dry Dog Food",VICTOR,a/b,"{'50-lb bag': '76.99', '15-lb bag': '29.99', '5-lb bag': '13.99', '40-lb bag': '57.99'}",1299 Reviews
"
        Hill's Science Diet Adult Small Bites Chicken & Barley Recipe Dry Dog Food",Hill's Science Diet,a/b,"{'5-lb bag': '17.99', '15-lb bag': '36.99', '35-lb bag': '61.99'}",585 Reviews
"
        Blue Buffalo Wilderness Chicken Recipe Grain-Free Dry Dog Food",Blue Buffalo,a/b,"{'11-lb bag': '34.98', '24-lb bag': '59.98', '24-lb bag, bundle of 2': '119.96', '4.5-lb bag': '19.98', '20-lb bag': '49.98'}",1383 Reviews
"
        Taste of the Wild Sierra Mountain Grain-Free Dry Dog Food",Taste of the Wild,a/b,"{'14-lb bag': '35.99', '28-lb bag': '54.99', '5-lb bag': '17.99'}",1366 Reviews
Pedigree Big Dogs Adult Complete Nutrition Large Breed Roasted Chicken Flavor Dry Dog Food,Pedigree,a/b,"{'40-lb bag': '$25.99', '16-lb bag': '$14.98'}",8 Reviews
"
        American Journey Limited Ingredient Salmon & Sweet Potato Recipe Grain-Free Dry Dog Food",American Journey,a/b,"{'24-lb bag': '52.99', '12-lb bag': '39.99'}",847 Reviews
"
        Purina Pro Plan 30/20 Chicken & Rice Formula Dry Dog Food",Purina Pro Plan,a/b,"{'50-lb bag': '75.48', '37.5-lb bag': '58.98', '6-lb bag': '17.18', '18-lb bag': '45.18'}",1216 Reviews
"
        ORIJEN Original Grain-Free Dry Dog Food",ORIJEN,a/b,"{'4.5-lb bag': '27.99', '13-lb bag': '59.99', '25-lb bag': '99.99', '25-lb bag, bundle of 2': '199.98'}",1549 Reviews
"Wholesomes Chicken Meal & Rice Formula Adult Dry Dog Food, 40-lb bag",Wholesomes,a/b,"{'40-lb bag': '$38.96', '16.5-lb bag': '$15.99'}",323 Reviews
"Rachael Ray Nutrish Zero Grain Natural Beef, Potato & Bison Recipe Grain-Free Dry Dog Food",Rachael Ray Nutrish,a/b,"{'23-lb bag': '$44.48', '3.5-lb bag': '$11.46', '11-lb bag': '$22.99', '22-lb bag': '$39.99', '3.75-lb bag': '$10.49', '11.5-lb bag': '$24.48'}",223 Reviews
"
        Bundle: Stella & Chewy's Wild Red Raw Blend Kibble Wholesome Grains Prairie Recipe Dry Food + Wild Red Variety Pack Wet Dog Food", Stella & Chewy's ,a/b,$26.93,0
"
        Hill's Science Diet Adult Large Breed Chicken & Barley Recipe Dry Dog Food",Hill's Science Diet,a/b,"{'15-lb bag': '36.99', '35-lb bag': '61.99'}",639 Reviews
True Acre Foods Farmhouse Blend with Lamb & Vegetables Dry Dog Food,True Acre Foods,a/b,"{'40-lb bag': '$43.99', '30-lb bag': '$34.99'}",96 Reviews
"
        Diamond Naturals Large Breed Adult Chicken & Rice Formula Dry Dog Food, 40-lb bag",Diamond,a/b,$40.99,378 Reviews
Royal Canin Veterinary Diet Adult Calm Small Breed Dry Dog Food,Royal Canin Veterinary Diet,a/b,"{'8.8-lb bag': '$54.99', '4.4-lb bag': '$28.99'}",50 Reviews
"
        Wellness Complete Health Adult Whitefish & Sweet Potato Recipe Dry Dog Food",Wellness,a/b,"{'5-lb bag': '19.98', '30-lb bag': '64.98', '15-lb bag': '42.98'}",388 Reviews
"
        Rachael Ray Nutrish Real Turkey, Brown Rice & Venison Recipe Dry Dog Food",Rachael Ray Nutrish,a/b,"{'13-lb bag': '21.68', '5.5-lb bag': '9.89', '26-lb bag': '39.98'}",351 Reviews
"
        Nutro Natural Choice Large Breed Adult Chicken & Brown Rice Recipe Dry Dog Food",Nutro,a/b,"{'22-lb bag': '39.99', '40-lb bag': '71.98', '13-lb bag': '26.98', '30-lb bag': '53.98'}",713 Reviews
Black Gold Explorer Original Performance 26/18 Dry Dog Food,Black Gold,a/b,"{'50-lb bag': '$56.19', '15-lb bag (original)': '$13.15', '15-lb bag': '$15.99', '40-lb bag': '$30.00', '50-lb bag (original)': None}",31 Reviews
"
        American Journey Active Life Formula Salmon, Brown Rice & Vegetables Recipe Dry Dog Food",American Journey,a/b,"{'28-lb bag': '49.99', '4-lb bag': '11.99', '14-lb bag': '29.99', '28-lb bag, bundle of 2': '94.98'}",1155 Reviews
"
        Purina Pro Plan Veterinary Diets Neurocare Dry Dog Food",Purina Pro Plan Veterinary Diets,a/b,"{'11-lb bag': '60.99', '6-lb bag': '38.99', '25-lb bag': '118.99'}",171 Reviews
"
        Stella & Chewy's Wild Red Raw Coated Kibble Grain-Free Ocean Recipe Dry Dog Food",Stella & Chewy's,a/b,"{'3.5-lb bag': '13.31', '21-lb bag': '79.99'}",14 Reviews
"
        Merrick Real Texas Beef + Sweet Potato Recipe Grain-Free Adult Dry Dog Food",Merrick,a/b,"{'10-lb bag': '44.98', '4-lb bag': '21.98', '30-lb bag': '79.98', '22-lb bag': '64.98'}",1109 Reviews
"
        Cesar Rotisserie Chicken Flavor & Spring Vegetables Garnish Small Breed Dry Dog Food",Cesar,a/b,"{'5-lb bag': '8.12', '2.7-lb bag': '5.74'}",166 Reviews
"
        Purina Pro Plan Veterinary Diets EN Gastroenteric Dry Dog Food",Purina Pro Plan Veterinary Diets,a/b,"{'6-lb bag': '36.99', '32-lb bag': '104.99', '18-lb bag': '72.99'}",410 Reviews
"True Acre Foods Farmhouse Blend Large Breed, with Chicken & Vegetable",True Acre Foods,a/b,"{'40-lb bag': '$44.99', '30-lb bag': '$34.99'}",44 Reviews
"
        Iams ProActive Health Adult Healthy Weight Dry Dog Food",Iams,a/b,"{'7-lb bag': '13.99', '29.1-lb bag': '35.99', '15-lb bag': '22.98'}",250 Reviews
"
        Purina Pro Plan Small Breed Adult Shredded Blend Lamb & Rice Formula Dry Dog Food, 6-lb bag",Purina Pro Plan,a/b,$17.18,43 Reviews
"
        Bundle: ORIJEN Original Dry Dog Food + Freeze-Dried Dog Food & Topper", ORIJEN ,a/b,$139.98,0
"Evolve Deboned Beef, Barley & Brown Rice Recipe Dry Dog Food",Evolve,a/b,"{'30-lb bag': '$38.47', '4-lb bag': '$8.72', '15-lb bag': '$27.99'}",27 Reviews
"
        Taste of the Wild Ancient Mountain with Ancient Grains Dry Dog Food",Taste of the Wild,a/b,"{'28-lb bag': '54.99', '14-lb bag': '35.99', '5-lb bag': '17.99'}",93 Reviews
Hill's Science Diet Adult Perfect Weight Chicken Recipe Dry Dog Food,Hill's Science Diet,a/b,"{'28.5-lb bag': '$70.99', '4-lb bag': '$20.49', '15-lb bag': '$45.99', '30-lb bag (Original)': '$50.11'}",678 Reviews
"
        American Journey Active Life Formula Chicken, Brown Rice & Vegetables Recipe Dry Dog Food",American Journey,a/b,"{'4-lb bag': '10.99', '14-lb bag': '29.99', '28-lb bag': '49.99'}",1055 Reviews
Dr. Pol Healthy Balance Salmon Recipe Grain-Free Dry Dog Food,Dr. Pol,a/b,"{'24-lb bag': '$51.99', '12-lb bag': '$35.99', '4-lb bag': '$23.29'}",64 Reviews
"
        Blue Buffalo Natural Veterinary Diet W+M Weight Management + Mobility Support Grain-Free Dry Dog Food",Blue Buffalo Natural Veterinary Diet,a/b,"{'22-lb bag': '92.98', '6-lb bag': '35.98'}",14 Reviews
"
        Wellness Complete Health Adult Deboned Chicken & Oatmeal Recipe Dry Dog Food",Wellness,a/b,"{'5-lb bag': '18.14', '30-lb bag': '69.98', '15-lb bag': '39.98'}",536 Reviews
"
        Pedigree Small Dog Complete Nutrition Grilled Steak & Vegetable Flavor Small Breed Dry Dog Food",Pedigree,a/b,"{'14-lb bag': '13.98', '3.5-lb bag': '5.24'}",216 Reviews
"Solid Gold NutrientBoost Hund-N-Flocken Lamb, Brown Rice & Pearled Barley Recipe Adult Dry Dog Food",Solid Gold,a/b,"{'24-lb bag': '$52.99', '4-lb bag': '$15.99'}",150 Reviews
"
        Instinct Raw Boost Grain-Free Recipe with Real Chicken & Freeze-Dried Raw Pieces Dry Dog Food",Instinct,a/b,"{'10-lb bag': '47.17', '21-lb bag': '72.50', '4-lb bag': '27.98'}",314 Reviews
"
        Purina ONE SmartBlend True Instinct High Protein Beef & Salmon Adult Dry Dog Food",Purina ONE,a/b,"{'27.5-lb bag': '41.99', '15-lb bag': '29.99'}",181 Reviews
"
        VICTOR Classic Professional Formula Dry Dog Food",VICTOR,a/b,"{'50-lb bag': '67.99', '40-lb bag': '52.99', '5-lb bag': '12.99'}",628 Reviews
Purina Pro Plan Veterinary Diets HA Hydrolyzed Salmon Flavor Dry Dog Food,Purina Pro Plan Veterinary Diets,a/b,"{'25-lb bag': '$103.99', '6-lb bag': '$41.99', '16.5-lb bag': '$80.99'}",22 Reviews
"
        Bundle: Halo Holistic Garden of Vegan Recipe Adult Canned Food + Chicken-Free Garden of Vegan Dry Dog Food", Halo ,a/b,$42.73,0
"
        Instinct Raw Boost Gut Health Grain-Free Recipe with Real Chicken & Freeze-Dried Raw Pieces Adult Dry Dog Food",Instinct,a/b,"{'18-lb bag': '73.50', '4-lb bag': '28.04'}",31 Reviews
"
        ACANA Singles Limited Ingredient Diet Pork & Squash Recipe Grain-Free Dry Dog Food",ACANA,a/b,"{'4.5-lb bag': '26.99', '25-lb bag': '84.99', '13-lb bag': '49.99'}",11 Reviews
"
        Royal Canin Veterinary Diet Adult Skin Support Dry Dog Food",Royal Canin Veterinary Diet,a/b,"{'32-lb bag': '145.99', '16.5-lb bag': '93.99', '6-lb bag': '42.99'}",71 Reviews
"
        Taste of the Wild Southwest Canyon Grain-Free Dry Dog Food",Taste of the Wild,a/b,"{'28-lb bag': '54.99', '14-lb bag': '35.99', '5-lb bag': '17.99'}",529 Reviews
"
        Wellness Complete Health Adult Lamb & Barley Recipe Dry Dog Food",Wellness,a/b,"{'5-lb bag': '19.98', '30-lb bag': '64.98'}",220 Reviews
"
        Bundle: Hill's Science Diet Adult Sensitive Stomach & Skin Chicken Recipe Dry Food, 4-lb bag + Tender Turkey & Rice Stew Canned Dog Food", Hill's Science Diet ,a/b,$54.17,0
"
        Nutro Natural Choice Small Breed Adult Chicken & Brown Rice Recipe Dry Dog Food",Nutro,a/b,"{'5-lb bag': '14.98', '13-lb bag': '26.98'}",500 Reviews
Hill's Prescription Diet k/d + Mobility Kidney Care + Mobility with Chicken Dry Dog Food,Hill's Prescription Diet,a/b,"{'18.7-lb bag': '$93.99', '8.5-lb bag': '$50.99'}",74 Reviews
"CANIDAE All Life Stages Chicken, Turkey & Lamb Formula Dry Dog Food",CANIDAE,a/b,"{'44-lb bag': '$69.99', '5-lb bag': '$16.99', '15-lb bag': '$39.99', '30-lb bag': '$57.52', '35-lb bag': '$37.84'}",1046 Reviews
Rachael Ray Nutrish Little Bites Small Breed Real Chicken & Veggies Recipe Dry Dog Food,Rachael Ray Nutrish,a/b,"{'14-lb bag': '$21.68', '6-lb bag': '$9.87', '14-lb bag, bundle of 2': '$41.20'}",389 Reviews
"
        Hill's Science Diet Adult Small & Mini Perfect Weight Dry Dog Food",Hill's Science Diet,a/b,"{'4-lb bag': '20.49', '15-lb bag': '47.03'}",365 Reviews
"
        ACANA Singles + Wholesome Grains Limited Ingredient Diet Lamb & Pumpkin Recipe Dry Dog Food",ACANA,a/b,"{'22.5-lb bag': '86.99', '4-lb bag': '24.99'}",37 Reviews
"
        Purina Pro Plan Specialized Shredded Blend Beef & Rice Formula High Protein Small Breed Dry Dog Food",Purina Pro Plan,a/b,"{'18-lb bag': '45.20', '6-lb bag': '18.23'}",30 Reviews
"
        ACANA Singles + Wholesome Grains Limited Ingredient Diet Duck & Pumpkin Recipe Dry Dog Food",ACANA,a/b,"{'22.5-lb bag': '89.99', '4-lb bag': '25.99'}",25 Reviews
"CANIDAE PURE with Wholesome Grains Real Salmon & Barley Recipe Adult Dry Dog Food, 4-lb bag",CANIDAE,a/b,"{'4-lb bag': '$14.99', '24-lb bag': '$69.99'}",9 Reviews
"Lucy Pet Products Formulas for Life Grain-Free Duck, Pumpkin & Quinoa Formula Dry Dog Food",Lucy Pet Products,a/b,"{'25-lb bag': '$67.99', '4.5-lb bag': '$20.49'}",33 Reviews
"
        Bundle: Hill's Science Diet Adult Sensitive Stomach & Skin Small & Mini Breed Chicken Recipe Dry Food + Hill's Natural Soft Savories with Peanut Butter & Banana Dog Treats", Hill's Science Diet ,a/b,$50.98,4 Reviews
Beaverdam Pet Food Hi-Energy 26/18 Dry Dog Food,Beaverdam Pet Food,a/b,"{'40-lb bag': '$55.45', '5-lb bag': '$14.10', '20-lb bag': '$31.45'}",34 Reviews
"
        Instinct Raw Boost Small Breed Grain-Free Recipe with Real Chicken & Freeze-Dried Raw Pieces Dry Dog Food",Instinct,a/b,"{'4-lb bag': '26.99', '10-lb bag': '46.21'}",102 Reviews
Natural Balance Limited Ingredient Grain-Free Salmon & Sweet Potato Recipe Dry Dog Food,Natural Balance,a/b,"{'24-lb bag': '$62.98', '4-lb bag': '$18.88', '4.5-lb bag (Original)': '$19.99', '5-lb bag': '$15.48', '12-lb bag': '$41.98', '13-lb bag (Original)': '$41.99', '15-lb bag': '$39.22', '26-lb bag (Original)': '$62.99', '28-lb bag': '$55.04', '4-lb bag (Original)': '$18.88'}",946 Reviews
Natural Balance Limited Ingredient Reserve Grain-Free Duck & Potato Recipe Dry Dog Food,Natural Balance,a/b,"{'24-lb bag': '$58.55', '4-lb bag': '$18.88', '4.5-lb bag (Original)': '$19.99', '5-lb bag': '$16.05', '12-lb bag': '$38.75', '13-lb bag (Original)': '$41.99', '15-lb bag': '$38.07', '17-lb bag': '$39.99', '26-lb bag (Original)': '$62.99', '28-lb bag (Original)': '$53.90', '30-lb bag': '$56.99', '22-lb bag': None}",796 Reviews
"
        Purina Pro Plan Small Breed Adult Sensitive Skin & Stomach Formula Dry Dog Food",Purina Pro Plan,a/b,"{'16-lb bag': '45.20', '5-lb bag': '17.18', '30-lb bag': '58.99'}",299 Reviews
"
        Purina Pro Plan Sport All Life Stages Performance 30/20 Salmon & Rice Formula Dry Dog Food",Purina Pro Plan,a/b,"{'33-lb bag': '58.98', '6-lb bag': '17.99'}",294 Reviews
Moist & Meaty Rise & Shine Awaken Bacon & Egg Flavor Dry Dog Food,Moist & Meaty,a/b,"{'6-oz pouch, case of 12': '$6.40', '6-oz pouch, case of 12, bundle of 2': '$12.80'}",193 Reviews
"
        Bundle: Stella & Chewy's Wild Red Raw Blend Kibble Prairie Recipe Dry Food + Wild Red Chicken & Lamb Stew Wet Dog Food", Stella & Chewy's ,a/b,$69.03,0
"
        Health Extension Little Bites Chicken & Brown Rice Recipe Dry Dog Food",Health Extension,a/b,"{'30-lb bag': '64.98', '18-lb bag': '48.01', '4-lb bag': '21.98', '10-lb bag': '34.90', '1-lb bag': '3.49'}",294 Reviews
Hill's Science Diet Adult Perfect Digestion Large Breed Chicken Dry Dog Food,Hill's Science Diet,a/b,"{'22-lb bag': '$70.99', '12-lb bag': '$45.99'}",46 Reviews
"
        Nature's Recipe Small Breed Grain-Free Chicken, Sweet Potato & Pumpkin Recipe Dry Dog Food",Nature's Recipe,a/b,"{'4-lb bag, bundle of 3': '24.21', '12-lb bag': '28.98', '4-lb bag': '8.07'}",410 Reviews
"Nulo Frontrunner Ancient Grains Turkey, Whitefish & Quinoa Small Breed Dry Dog Food",Nulo,a/b,"{'14-lb bag': '$37.99', '3-lb bag': '$10.50', '5-lb bag': '$17.99', '11-lb bag': '$29.99'}",15 Reviews
"
        ACANA Freshwater Fish Recipe Grain-Free Dry Dog Food",ACANA,a/b,"{'25-lb bag': '76.99', '13-lb bag': '46.99', '4.5-lb bag': '22.99'}",180 Reviews
"
        Hill's Prescription Diet i/d Digestive Care Low Fat Chicken Flavor Dry Dog Food",Hill's Prescription Diet,a/b,"{'27.5-lb bag': '103.99', '17.6-lb bag': '78.99', '8.5-lb bag': '47.99'}",922 Reviews
"
        Hill's Prescription Diet r/d Weight Reduction Chicken Flavor Dry Dog Food",Hill's Prescription Diet,a/b,"{'27.5-lb bag': '98.99', '17.6-lb bag': '72.99', '8.5-lb bag': '40.99'}",299 Reviews
"
        Bundle: Natural Balance L.I.D. Limited Ingredient Diets Sweet Potato & Venison Formula Canned Food + Dry Dog Food", Natural Balance ,a/b,$103.83,0
"
        Merrick Classic Healthy Grains Lamb + Brown Rice Recipe with Ancient Grains Adult Dry Dog Food",Merrick,a/b,"{'25-lb bag': '64.98', '12-lb bag': '44.98', '4-lb bag': '21.98'}",153 Reviews
FirstMate Small Bites Limited Ingredient Diet Grain-Free Pacific Ocean Fish Meal Original Formula Dry Dog Food,FirstMate,a/b,"{'14.5-lb bag': '$49.81', '5-lb bag': '$26.49', '28.6-lb bag': '$0.00'}",21 Reviews
"
        Iams Adult Small & Toy Breed Dry Dog Food",Iams,a/b,"{'15-lb bag': '22.98', '7-lb bag': '12.98'}",177 Reviews
Earthborn Holistic Unrefined Roasted Rabbit with Ancient Grains & Superfoods Dry Dog Food,Earthborn Holistic,a/b,"{'25-lb bag': '$69.45', '4-lb bag': '$18.93', '12.5-lb bag': '$39.98'}",77 Reviews
"
        VICTOR Purpose Hero Grain-Free Dry Dog Food",VICTOR,a/b,"{'50-lb bag': '99.99', '30-lb bag': '62.99', '5-lb bag': '15.99'}",369 Reviews
"BIXBI Liberty Rancher's Red Fresh Beef, Lamb & Goat Dry Dog Food",BIXBI,a/b,"{'22-lb bag': '$63.99', '4-lb bag': '$15.99'}",11 Reviews
Boss Dog Complete & Balanced High Protein Chicken & Ancient Grain Recipe Dry Dog Food,Boss Dog,a/b,"{'24-lb bag': '$69.99', '4-lb bag': '$15.99'}",Write the First Review
"
        Nutro Ultra Large Breed Adult Dry Dog Food",Nutro,a/b,"{'30-lb bag': '59.98', '15-lb bag': '34.98'}",354 Reviews
"
        Nature's Recipe Grain-Free Chicken, Sweet Potato & Pumpkin Recipe Dry Dog Food",Nature's Recipe,a/b,"{'12-lb bag': '28.98', '4-lb bag': '9.88', '24-lb bag': '45.98'}",580 Reviews
"
        Bundle: Purina Pro Plan Adult Shredded Blend Chicken & Rice Formula Dry + Canned Dog Food, 6-lb bag", Purina Pro Plan ,a/b,$42.26,0
"
        Hill's Prescription Diet k/d Kidney Care with Lamb Dry Dog Food",Hill's Prescription Diet,a/b,"{'17.6-lb bag': '81.99', '8.5-lb bag': '48.99'}",208 Reviews
Purina Beneful Natural Superfood Blend With Salmon Dry Dog Food,Purina Beneful,a/b,"{'12-lb bag': '$19.19', '4.25-lb bag': '$7.99'}",167 Reviews
"
        Merrick Healthy Grains Raw-Coated Kibble Real Chicken + Brown Rice Recipe Freeze-Dried Dry Dog Food",Merrick,a/b,"{'10-lb bag': '49.98', '22-lb bag': '69.98', '4-lb bag': '24.98'}",35 Reviews
Freely Flexitarian Recipe Whole Grain Dry Dog Food,Freely,a/b,"{'21-lb bag': '$59.99', '4-lb bag': '$17.99'}",4 Reviews
"
        Bundle: Wellness CORE RawRev Small Breed Original Recipe with Freeze Dried Turkey Dry Food + Bowl Boosters Bare Turkey Freeze-Dried Dog Food Mixer or Topper", Wellness ,a/b,$52.40,4 Reviews
"Kinetic Performance Ultra 32K Formula Dry Dog Food, 35-lb bag",Kinetic,a/b,{'35-lb bag': '$59.99'},25 Reviews
"
        Royal Canin Veterinary Diet Adult Hydrolyzed Protein Small Breed Dry Dog Food, 8.8-lb bag",Royal Canin Veterinary Diet,a/b,$52.99,281 Reviews
"
        Purina Pro Plan Veterinary Diets HA Hydrolyzed Chicken Flavor Dry Dog Food",Purina Pro Plan Veterinary Diets,a/b,"{'6-lb bag': '41.99', '16.5-lb bag': '80.99', '25-lb bag': '103.99'}",224 Reviews
"
        Earthborn Holistic Ocean Fusion Natural Dry Dog Food",Earthborn Holistic,a/b,"{'25-lb bag': '63.14', '12.5-lb bag': '38.93', '4-lb bag': '18.93'}",112 Reviews
"
        Bundle: Iams ProActive Health Adult MiniChunks Dry Food + Milk-Bone Flavor Snacks for Small/Medium Dogs", Iams ,a/b,$62.96,0
"
        Bundle: American Journey Limited Ingredient Lamb & Sweet Potato Recipe Dry + Canned Dog Food", American Journey ,a/b,$74.08,4 Reviews
"
        ORIJEN Fit & Trim Grain-Free Dry Dog Food",ORIJEN,a/b,"{'25-lb bag': '99.99', '13-lb bag': '62.99', '4.5-lb bag': '29.99'}",37 Reviews
Royal Canin Veterinary Diet Adult Early Cardiac Dry Dog Food,Royal Canin Veterinary Diet,a/b,"{'17.6-lb bag': '$76.99', '7.7-lb bag': '$45.99'}",148 Reviews
ACANA Meadowland Grain-Free Dry Dog Food,ACANA,a/b,"{'25-lb bag': '$79.99', '4.5-lb bag': '$23.99', '5-lb bag (Original)': '$18.99', '5.5-lb bag': '$18.34', '13-lb bag': '$48.99', '15-lb bag (Original)': '$40.99', '15.4-lb bag': '$38.99', '28.6-lb bag (Original)': '$67.99', '29.7-lb bag': '$69.96'}",493 Reviews
"
        Purina Pro Plan Adult Weight Management Shredded Blend Chicken & Rice Formula Dry Dog Food",Purina Pro Plan,a/b,"{'6-lb bag': '17.18', '18-lb bag': '45.18', '34-lb bag': '58.98'}",634 Reviews
Dr. Gary's Best Breed Freshwater Recipe Catfish & Whitefish Meals Dry Dog Food,Dr. Gary's Best Breed,a/b,"{'26-lb bag': '$60.99', '4-lb bag': '$16.49', '13-lb bag': '$37.49'}",3 Reviews
"Inukshuk Professional Dry Dog Food 30/25, 33-lb bag",Inukshuk,a/b,{'33-lb bag': '$54.80'},75 Reviews
"
        Bundle: Stella & Chewy's Wild Red Classic Kibble Red Meat Recipe Dry Food + Wild Red Chicken & Beef Stew Wet Dog Food", Stella & Chewy's ,a/b,$65.53,0
"
        Blue Buffalo Basics Skin & Stomach Care Grain-Free Formula Lamb & Potato Recipe Small Breed Adult Dry Dog Food, 11-lb bag",Blue Buffalo,a/b,$42.99,172 Reviews
"
        Blue Buffalo Natural Veterinary Diet W+U Weight Management + Urinary Care Grain-Free Dry Dog Food",Blue Buffalo Natural Veterinary Diet,a/b,"{'6-lb bag': '28.98', '22-lb bag': '79.98'}",45 Reviews
"
        Bundle: American Journey Savory Toppers Chicken Recipe in Gravy Grain-Free Dog Food Topper + Chicken & Sweet Potato Recipe Grain-Free Dry Food", American Journey ,a/b,$75.98,0
Farmina N&D Ocean Codfish & Orange Ancestral Grain Medium & Maxi Adult Dry Dog Food,Farmina,a/b,"{'26.5-lb bag': '$86.95', '5.5-lb bag (original)': '$20.59', '5.5-lb bag': '$26.95', '26.4-lb bag (original)': '$80.32'}",157 Reviews
"
        Castor & Pollux Organix Healthy Grains Organic Small Breed Recipe Adult Dry Dog Food",Castor & Pollux,a/b,"{'4-lb bag': '23.99', '10-lb bag': '52.08'}",46 Reviews
"
        Bundle: Purina Pro Plan Adult Large Breed Weight Management Chicken & Rice Formula Dry Food + Focus Turkey & Rice Entree Morsels in Gravy Canned Dog Food", Purina Pro Plan ,a/b,$86.70,2 Reviews
"Nature's Recipe Prime Blends Beef, Barley & Venison Recipe Dry Dog Food, 24-lb bag",Nature's Recipe,a/b,"{'24-lb bag': '$54.98', '4-lb bag': '$10.99', '12-lb bag': '$26.69'}",6 Reviews
"
        Bundle: American Journey Chicken Recipe Grain-Free Canned Dog Food + Chicken & Sweet Potato Recipe Dry Food", American Journey ,a/b,$72.95,0
BIXBI RAWBBLE Fresh Lamb Recipe Limited Ingredient Grain-Free Dry Dog Food,BIXBI,a/b,"{'24-lb bag': '$83.99', '4-lb bag': '$20.99'}",3 Reviews
Royal Canin Veterinary Diet Adult Hepatic Dry Dog Food,Royal Canin Veterinary Diet,a/b,"{'26.4-lb bag': '$109.99', '7.7-lb bag': '$45.99'}",278 Reviews
"
        Bundle: Merrick Backcountry Raw Infused Grain Free Dry Food Great Plains Red Recipe + Power Bites Real Texas Beef Recipe Grain-Free Soft & Chewy Dog Treats", Merrick ,a/b,$81.86,Read  1 Review
"
        Blue Buffalo Basics Skin & Stomach Care Turkey & Potato Recipe Small Breed Adult Dry Dog Food",Blue Buffalo,a/b,"{'4-lb bag': '20.98', '11-lb bag': '42.99'}",144 Reviews
"
        Taste of the Wild Wetlands Grain-Free Dry Dog Food",Taste of the Wild,a/b,"{'14-lb bag': '35.99', '28-lb bag': '54.99', '5-lb bag': '17.99'}",1067 Reviews
